id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
1011	antikiklon	y	y	antisikɫon	antisikɫondʒu	antisikɫonum	antisikɫonu	antisikɫonum				l
10110	istavroz	y	y	istavɾoz	istavɾozdʒu	istavɾozum	istavɾozu	istavɾozum				l
10111	istearik	n	n									l
10112	istek	y	y	istek	istektʃi	isteim	istei	isteim				l
10113	isteka	y	y	istaka	istakadʒɯ	istakajɯm	istakajɯ	istakam				l
10114	isteklendirmek	y	y	istekɫendiɾmek					istekɫendiɾiɾ		istekɫendiɾtiɾ	l
10115	istem	y	y	istem	istemdʒi	istemim	istemi	istemim				l
10116	isteme	y	y						isteɾ	istemek	istetiɾ	l
10117	istemek	y	y	istemek					isteɾ		istetiɾ	l
10118	istemli	n	n									l
10119	istenç	y	n	istentʃ	istentʃtʃi	istentʃim	istendʒi	istendʒim				l
1012	antilop	y	y	antiɫop	antiɫoptʃu	antiɫobum	antiɫobu	antiɫobum				l
10120	istence	y	n	istendʒe	istendʒedʒi	istendʒejim	istendʒeji	istendʒem				l
10121	istenilmek	y	y	istenmek					isteniɾ		isteniɫiɾ	l
10122	istenmek	y	y	istenmek					isteniɾ		? istendiɾiɾ	l
10123	istep	y	y	istep	istepim	istepim	istepi	istepim	isteptʃi			l
10124	ister	n	n									l
10125	isteri	y	y	isteɾi	isteɾidʒi	isteɾijim	isteɾiji	isteɾim				l
10126	isterlin	y	y	steɾɫing	steɾɫingdʒi	steɾɫingim	steɾɫingi	steɾɫingim				l
10127	istetmek	y	y	istetmek					istetiɾ		istettiɾiɾ	l
10128	istitaf	n	n									l
10129	istıktab	y	y	istiktap	istiktaptʃɯ	istikta:bɯm	istikta:bɯ	istikta:bɯm				l
1013	antimanyetik	y	y	antimanjetik	antimanjetiktʃi	antimanjetiim	antimanjetii	antimanjetiim				l
10130	istıtla	n	n									l
10131	istiab	y	y	istiap	istiabdʒɯ	istiabɯm	istiabɯ	istiabɯm				l
10132	istiane	n	n									l
10133	istiap	y	y	istiap	istiaptʃɯ	istiabɯm	istiabɯ	istiabɯm				l
10134	istiare	y	y	istiaɾe	istiaɾem	istiaɾejim	istiaɾeji	istiaɾejim				l
10135	istibad	n	n									l
10136	istibat	n	n									l
10137	istibdad	y	y	istibdat	istibdattʃɯ	istibda:dɯm	istibda:dɯ	istibda:dɯm				l
10138	istibdal	n	n									l
