id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
10399	hhl											l
104	llll											l
1040	llh											l
10400	h											l
10401	h			h'	hl'	h'h	hl'	hh'				l
10402	hl			hl'	hll'	hl'h	hll'	hh'				l
10403	hll											l
10404	hlh			hlh'		hll'h	hlll'	hllh'				l
10405	l											l
10406	lll											l
10407	llh			llh'	llhl'	lll'h	llll'	lllh'				l
10408	lh											l
10409	lllll											l
1041	lhh											l
10410	lh											l
10411	llh			llh'	llhl'	lll'h	llll'	lllh'				l
10412	h											l
10413	ll-											l
10414	h			h'		h'h	hl'	hh'				l
10415	h			h'	hl'	l'h	ll'	lh'				l
10416	lh			lh'		ll'h	lll'	llh'				l
10417	lh			lh'		ll'h	lll'	llh'				l
10418	ll-											l
10419	lll											l
1042	lhlh			lhh'		lhl'h	lhll'	lhlh'				l
10420	hl											l
10421	ll											l
10422	lh			lh'		ll'h	lll'	llh'				l
10423	hhh											l
10424	lllh			lllh'	lllhl'	llll'h	lllll'	llllh'				l
10425	h			h'	hl'	l'h	ll'	lh'				l
10426	h											l
10427	lhh											l
10428	llhl											l
10429	lh											l
1043	lhl											l
10430	ll											l
10431	hlll											l
10432	lh											l
10433	hh											l
10434	lll			lll'		lll'h	llll'	llh'				l
10435	hllh											l
10436	lll											l
10437	hh											l
10438	h			h'		l'h	ll'	lh'				l
10439	ll											l
1044	lh											l
10440	h											l
10441	ll			l'l	l'll	l'lh	l'll	l'h				l
10442	h			h'		l'h	ll'	lh'				l
10443	hh											l
10444	l											l
10445	ll											l
10446	lh											l
10447	h											l
10448	lh											l
10449	hl											l
1045	lllh											l
10450	ll			hl'		hl'h	hhl'	hh'				l
10451	lh											l
10452	lh			hh'	hhl'	hl'h	hll'	hlh'				l
10453	lh											l
10454	lh											l
10455	lh			lh'	lhl'	ll'h	lll'	llh'				l
10456	lllll											l
10457	lhll											l
10458	lh											l
10459	h											l
1046	lllh											l
10460	ll											l
10461	lh											l
10462	lh											l
10463	hll											l
10464	hl			hl'	hhl'	hl'h	hhl'	hh'				l
10465	lh											l
10466	lh			hh'		hl'h	hll'	hlh'				l
10467	h											l
10468	hh											l
10469	lh											l
1047	lll			lll'	llll'	lll'h	llll'	llh'				l
10470	hh											l
10471	hh											l
10472	hh											l
10473	lh			hh'	hhl'	hl'h	hll'	hlh'				l
10474	lllhh											l
10475	h											l
10476	h			h'	hl'	l'h	hl'	hh'				l
10477	lhll											l
10478	lhh											l
10479	hh											l
1048	lhl											l
10480	hll			hhl'	hhll'	hhl'h	hhll'	hhh'				l
10481	hl											l
10482	hh											l
10483	llh											l
10484	lll											l
10485	lh			hh'	hhl'	hl'h	hll'	hlh'				l
10486	ll			hl'		hl'h	hll'	hh'				l
10487	lh											l
10488	lh											l
10489	lh-											l
1049	lh											l
10490	lh			hh'		hl'h	hll'	hlh'				l
10491	ll											l
10492	lh											l
10493	ll-											l
10494	llh											l
10495	lh											l
10496	lll											l
10497	llll											l
10498	llh			hh'		hl'h	hll'	hlh'				l
10499	h											l
105	llh											l
1050	lh											l
10500	h-											l
10501	ll											l
10502	lllh											l
10503	llll			llll'		llll'h	lllll'	lllh'				l
10504	llh			llh'	llhl'	lll'h	llll'	lllh'				l
10505	llh											l
10506	lh			lh'	lhl'	ll'h	lll'	llh'				l
10507	lhl											l
10508	lllh			ll'lh		ll'llh	ll'lll	ll'llh				l
10509	lll											l
1051	lh											l
10510	llh											l
10511	llhh											l
10512	llh											l
10513	lhll											l
10514	lh											l
10515	lll											l
10516	lhh			lhh'	lhhl'	lhl'h	lhll'	lhlh'				l
10517	lll			lll'		lll'h	llll'	llh'				l
10518	lhl											l
10519	llh											l
1052	lllh											l
10520	lhl			lhh'					llh'		lh'	l
10521	lhh			lhh'					llh'		lh'	l
10522	llll			ll'll	ll'lll	ll'llh	ll'lll	ll'lh				l
10523	lllh											l
10524	llh											l
10525	lll			lhl'	lhll'	lhl'h	lhll'	lhh'				l
10526	lh			lh'		ll'h	lll'	llh'				l
10527	lh											l
10528	lh			hh'	hhl'	hl'h	hll'	hlh'				l
10529	lll											l
1053	llllh											l
10530	lll											l
10531	lllh			hllh'		hlll'h	hllll'	hlllh'				l
10532	lh			lh'	lhl'	ll'h	lll'	llh'				l
10533	lll			lll'	llll'	lll'h	llll'	llh'				l
10534	lh			lh'	lhl'	ll'h	hl'	hh'				l
10535	h-											l
10536	hh											l
10537	hl											l
10538	hl			h'l	h'll	h'lh	h'll	h'h				l
10539	llh			llh'		lll'h	llll'	lllh'				l
1054	lhh											l
10540	h-											l
10541	hh											l
10542	hl											l
10543	lh			lh'	lhl'	ll'h	lll'	llh'				l
10544	lhhh											l
10545	lh			lh'	lhl'	ll'h	lhl'	lhh'				l
10546	lhl											l
10547	lhl			lhl'		lhl'h	lhll'	lhh'				l
10548	h-											l
10549	hl			hl'		hl'h	hll'	hh'				l
1055	lhlhl											l
10550	hhh											l
10551	hl											l
10552	h			h'	hl'	l'h	ll'	lh'				l
10553	lllh											l
10554	lh			lh'	lhl'	ll'h	lll'	llh'				l
10555	lhl											l
10556	llh			llh'	llhl'	lll'h	llll'	lllh'				l
10557	lh											l
10558	lh											l
10559	llll											l
1056	lh			lh'	lhl'	ll'h	lll'	llh'				l
10560	hh											l
10561	lh											l
10562	lhh											l
10563	lhl											l
10564	lhh											l
10565	lhh			lhh'					llh'		lhh'	l
10566	llhh											l
10567	lhh			lhh'					llh'		lh'	l
10568	lhh											l
10569	lh											l
1057	llh											l
10570	lhh											l
10571	hh											l
10572	hl											l
10573	hh											l
10574	hl			hh'					lh'		hh'	l
10575	hh			hh'					lh'		lh'	l
10576	hh											l
10577	hh hh											l
10578	lh											l
10579	h											l
1058	lll											l
10580	lll			ll'l		ll'lh	ll'll	ll'h				l
10581	lh			lh'		ll'h	lll'					l
10582	lhh											l
10583	lhl			lh'l	lh'll	lh'lh	lh'll	lh'h				l
10584	lhl			lh'l	lh'll	lh'lh	lh'll	lh'h				l
10585	llh											l
10586	hllh											l
10587	lh											l
10588	lh											l
10589	lll			lll'		lll'h	llll'	llh'				l
1059	hllh											l
10590	lhll											l
10591	lh											l
10592	ll			ll'		ll'h	lll'	lh'				l
10593	lh											l
10594	lh											l
10595	lhll											l
10596	lhl			lhl'	lhll'	lhl'h	lhll'	lhh'				l
10597	lh											l
10598	lh			lh'		ll'h	lll'	llh'				l
10599	lh-											l
106	llh											l
1060	hh											l
10600	lll											l
10601	lh											l
10602	lh											l
10603	lhl											l
10604	lh			lh'	lhl'	ll'h	hl'	hh'				l
10605	lh											l
10606	hlh											l
10607	hh			hh'	hhl'	hl'h	hll'	hlh'				l
10608	hh											l
10609	hl			h'l		h'lh	h'll	h'h				l
1061	llh			llh'	llhl'	lll'h	llll'	lllh'				l
10610	hh											l
10611	h											l
10612	ll			ll'	lll'	ll'h	lll'	lh'				l
10613	llhlhlh											l
10614	llh			llh'		lll'h	llll'	lllh'				l
10615	lh			lh'	lhl'	ll'h	lll'	llh'				l
10616	lhl											l
10617	llhl											l
10618	hl											l
10619	lll											l
1062	lhhl											l
10620	lll			hll'	hlll'	hll'h	hlll'	hlh'				l
10621	hh											l
10622	lh											l
10623	lh											l
10624	lhl											l
10625	hl											l
10626	hh			hh'	hhl'	hl'h	hll'	hlh'				l
10627	hh											l
10628	lh			lh'		ll'h	hl'	hh'				l
10629	lh											l
1063	lh											l
10630	hll			hll'	hlll'	hll'h	hlll'	hlh'				l
10631	hll											l
10632	hl			hl'	hll'	hl'h	hll'	hh'				l
10633	h-											l
10634	hlh											l
10635	hh											l
10636	hhh											l
10637	h											l
10638	hhl			hhl'	hhll'	hhl'h	hhll'	hhh'				l
10639	hl			hl'		hl'h	hll'	hh'				l
1064	lll											l
10640	hllh											l
10641	lh											l
10642	lll											l
10643	lh											l
10644	lh											l
10645	h											l
10646	ll											l
10647	lh											l
10648	lh											l
10649	lll											l
1065	lhllll											l
10650	lllh											l
10651	lh											l
10652	lll											l
10653	llh											l
10654	lh			lh'		ll'h	lll'	llh'				l
10655	lll											l
10656	lh											l
10657	llh											l
10658	lh											l
10659	lhl											l
1066	lhh			lhh'		lhl'h	lhll'	lhlh'				l
10660	lhh											l
10661	lhh											l
10662	hl			hh'					lh'		hh'	l
10663	hh											l
10664	hh			hh'	hhl'	hl'h	hll'	hlh'				l
10665	ll-											l
10666	hh											l
10667	lll											l
