id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
19425	sallandırmak	y	y	saɫɫandɯɾma'k					saɫɫandɯɾɯ'ɾ		saɫɫandɯɾtɯ'ɾ	l
19426	sallapati	y	y	saɫɫapati'	saɫɫapatidʒi'	saɫɫapati'jim	saɫɫapatiji'	saɫɫapati'm				l
19427	sallapatı	y	y	saɫɫa'pati	saɫɫa'patidʒi	saɫɫa'patijim	saɫɫa'patiji	saɫɫa'patim				l
19428	sallasırt	n	n									l
19429	sallı	y	y	saɫɫɯ'	saɫɫɯdʒɯ'	saɫɫɯ'jɯm	saɫɫɯjɯ'	saɫɫɯ'm				l
1943	balata	y	y	baɫata'	baɫatadʒɯ'	baɫata'jɯm	baɫatajɯ'	baɫata'm				l
19430	salma	y	y	saɫma'					saɫa'ɾ	saɫma'k	saɫdɯɾɯ'ɾ	l
19431	salmak	y	y	saɫma'k					saɫa'ɾ		saɫdɯɾɯ'ɾ	l
19432	salmalık	n	n									l
19433	salmastra	y	y	saɫma'stɾa	saɫma'stɾadʒɯ	saɫma'stɾajɯm	saɫma'stɾajɯ	saɫma'stɾam				l
19434	salname	y	y	saɫna:me'	saɫna:medʒi'	saɫna:meji'm	saɫna:meji'	saɫna:me'm				l
19435	salon	y	y	saɫo'n	saɫondʒu'	saɫo'num	saɫonu'	saɫonu'm				l
19436	saloz	y	y	saɫo'z	saɫozdʒu'	saɫo'zum	saɫozu'	saɫozu'm				l
19437	salpa	n	n									l
19438	salpak	n	n									l
19439	salt	y	y	sa'ɫt	saɫttʃɯ'	sa'ɫtɯm	saɫtɯ'	saɫtɯ'm				l
1944	balayı	y	y	baɫajɯ'	baɫajɯdʒɯ'	baɫajɯ'jɯm	baɫajɯnɯ'	baɫajɯ'm				l
19440	salta	n	n									l
19441	saltanat	y	y	saɫtana't	saɫtanattʃɯ'	saɫtana:'tɯm	saɫtana:tɯ'	saɫtana:tɯ'm				l
19442	saltçılık	y	y	saɫttʃɯɫɯ'k	saɫttʃɯɫɯktʃɯ'	saɫttʃɯɫɯ'ɯm	saɫttʃɯɫɯɯ'	saɫttʃɯɫɯɯ'm				l
19443	salvo	y	y	sa'ɫvo	sa'ɫvodʒu	sa'ɫvojum	sa'ɫvoju	sa'ɫvom				l
19444	salya	y	y	sa'ɫja	sa'ɫjadʒɯ	sa'ɫjajɯm	sa'ɫjajɯ	sa'ɫjam				l
19445	salyana	n	n									l
19446	salyangoz	y	y	saɫjango'z	saɫjangozdʒu'	saɫjango'zum	saɫjangozu'	saɫjangozu'm				l
19447	sam	y	y	sa'm	samdʒɯ'	sa'mɯm	samɯ'	samɯ'm				l
19448	samame	n	n									l
19449	saman	y	y	sama'n	samandʒɯ'	sama'nɯm	samanɯ'	samanɯ'm				l
1945	balçak	n	n									l
19450	samani	y	n	sama:ni'	sama:nidʒi'	sama:ni'jim	sama:niji'	sama:ni'm				l
19451	samaryum	y	n	samaɾju'm	samaɾjumdʒu'	samaɾju'mum	samaɾjumu'	samaɾjumu'm				l
19452	samedanî	n	n									l
19453	sami	y	y	sa:mi'	sami:dʒi'	sa:mi:'jim	sa:mi:ji'	samii'm				l
19454	samim	n	n									l
19455	samimi	y	y	sami:mi'	sami:midʒi'	sami:mi'jim	sami:miji'	sami:mi'm				l
19456	samin	n	n									l
19457	samit	n	n									l
19458	samsa	y	y	sa'msa	sa'msadʒɯ	sa'msajɯm	sa'msajɯ	sa'msam				l
19459	samsun	n	n									l
1946	balçık	y	y	baɫtʃɯ'k	baɫtʃɯktʃɯ'	baɫtʃɯ'ɯm	baɫtʃɯɯ'	baɫtʃɯɯ'm				l
19460	samur	y	y	samu'ɾ	samuɾdʒu'	samu'ɾum	samuɾu'	samuɾu'm				l
19461	samyeli	y	y	sa'mjeɫi	sa'mjeɫidʒi	sa'mjeɫijim	sa'mjeɫini	sa'mjeɫim				l
19462	san	y	y	sa'n	sandʒɯ'	sa'nɯm	sanɯ'	sanɯ'm				l
19463	san'at	y	y	sana't	sanattʃɯ'	sana'tɯm	sanatɯ'	sanatɯ'm				l
19464	sana	n	n									l
19465	sanal	n	n									l
19466	sanat	y	y	sana't	sanattʃɯ'	sana'tɯm	sanatɯ'	sanatɯ'm				l
19467	sanatçı	y	y	sanattʃɯ'	sanattʃɯ'	sanattʃɯ'jɯm	sanattʃɯjɯ'	sanattʃɯ'm				l
19468	sanatoryum	y	y	sanatoɾju'm	sanatoɾjumdʒu'	sanatoɾju'mum	sanatoɾjumu'	sanatoɾjumu'm				l
19469	sanavber	n	n									l
19471	sanayici	y	y	sana:ji:dʒi'	sana:ji:dʒi'	sana:ji:dʒi'jim	sana:ji:dʒiji'	sana:ji:dʒi'm				l
19472	sançmak	n	n									l
19474	sancı	y	y	sandʒɯ'	sandʒɯdʒɯ'	sandʒɯ'jɯm	sandʒɯjɯ'	sandʒɯ'm				l
19475	sancılmak	n	n									l
19476	sandal	y	y	sanda'ɫ	sandaɫdʒɯ'	sanda'ɫɯm	sandaɫɯ'	sandaɫɯ'm				l
